Date,New Cases
2020-03,1463.0
2020-04,8372.0
2020-05,16355.0
2020-06,29912.0
2020-07,51991.0
2020-08,66420.0
2020-09,112212.0
2020-10,123080.0
2020-11,128795.0
2020-12,204315.0
2021-01,335116.0
2021-02,256320.0
2021-03,177078.0
2021-04,156656.0
2021-05,153335.0
2021-06,356569.0
2021-07,1231386.0
2021-08,498589.0
